longitude,latitude,type,filterrank,category_en,sizerank,maki,class,name
-70.5604299902916,-33.52629308481493,Greengrocer,1,Greengrocer,16,grocery,food_and_drink_stores,Frutas y Verduras
-70.551677942276,-33.52515831931024,Social Facility,2,Social Facility,13,marker,public_facilities,Hogar de Ancianos – Congregación Religiosas Mercedarias
-70.55234715342522,-33.52599010947222,School,2,School,16,school,education,Escuela Waldorf Arreboles del Panul
-70.55517017841339,-33.52789402914975,Pitch,5,,15,tennis,sport_and_leisure,
-70.55498242378235,-33.52787390573171,Pitch,5,,15,tennis,sport_and_leisure,
-70.55478930473328,-33.52785378230899,Pitch,5,,15,tennis,sport_and_leisure,
-70.55460423231125,-33.52783701278648,Pitch,5,,15,tennis,sport_and_leisure,
-70.55316254496574,-33.52746696449539,Pitch,5,,15,tennis,sport_and_leisure,
-70.68558186292648,-33.4256257102878,Swimming Pool,5,Swimming Pool,16,swimming,sport_and_leisure,
-70.68699941039085,-33.4246832647308,Alcohol,3,Liquor Store,16,alcohol-shop,food_and_drink_stores,Botilleria La Previa
-70.68744733929634,-33.42466199802656,Fuel,3,Gas Station,16,fuel,motorist,Petrobras
-70.68603917956352,-33.426475245673494,Company,2,,15,marker,general,Acermet
-70.6865930557251,-33.42649763121023,Restaurant,1,Restaurant,16,restaurant,food_and_drink,Sushi Jack
-70.68649917840958,-33.42343299753133,Industrial,3,Industrial Area,8,marker,industrial,BASF
-70.68848803639412,-33.42509852406966,Kindergarten,4,Kindergarten,16,school,education,Jardín Infantil Hogar Santa Catalina
-70.68830966949463,-33.42419748713417,Yes,3,Shop,16,marker,store_like,Aisla Pol
-70.68822517991066,-33.423862813890544,Yes,4,Shop,16,marker,store_like,Mi Sittio.Cl
-70.68865701556206,-33.424098988119525,Restaurant,1,Restaurant,16,restaurant,food_and_drink,Carrascal
-70.68876564502716,-33.424075482656335,Restaurant,2,Restaurant,16,restaurant,food_and_drink,Ming Zhu
-70.68887025117874,-33.42397698350326,Alcohol,4,Liquor Store,16,alcohol-shop,food_and_drink_stores,Las Tres Marias
-70.68893998861313,-33.423970267647846,Restaurant,1,Restaurant,16,restaurant,food_and_drink,Anata Zen Sushi
-70.68447008728981,-33.42255432986299,Greenfield,1,,11,marker,industrial,PUH Ciudad Mapocho Etapa 1
-70.68937852978706,-33.42385945595848,Driving School,4,Driving School,16,marker,commercial_services,Escuela de Conductores
-70.68952202796936,-33.423462099747816,Car Repair,3,Car Repair Shop,16,car-repair,commercial_services,Mr. Oil
-70.6826502084732,-33.423233759018,Toilets,5,,16,toilet,visitor_amenities,
-70.68211376667023,-33.424115777732204,Theatre,1,Theater,16,theatre,arts_and_entertainment,Anfiteatro
-70.68293988704681,-33.42251963070249,Playground,5,Playground,16,playground,park_like,
-70.6903749704361,-33.423631116273775,Fuel,3,Gas Station,16,fuel,motorist,Shell
-70.6858380138874,-33.42118873953111,Bridge,5,Bridge,14,bridge,landmark,
-70.69074511528015,-33.423513588260775,Alcohol,4,Liquor Store,16,alcohol-shop,food_and_drink_stores,Botilleria Donde La Tia
-70.69099187850952,-33.424125851498246,Veterinary,4,Veterinary Office,16,veterinary,commercial_services,Veterinaria
-70.6909529864788,-33.42397586419407,Restaurant,2,Restaurant,16,restaurant,food_and_drink,Osuka Sushi Delivery
-70.68970575928688,-33.42208085302474,Kindergarten,2,Kindergarten,16,school,education,Mundo Feliz
-70.69086983799934,-33.423504633738965,Bakery,5,Bakery,16,bakery,food_and_drink_stores,
