id,monto,superficie_t,dormitorios,dormitorios_faltante,banos,banos_faltante,antiguedad,antiguedad_faltante,Or_N,Or_S,Or_E,Or_O,Or_Faltante,terraza,estacionamiento,bodegas,flag_Departamento,flag_Multinivel,flag_Semipiso,flag_Premium,flag_Monoambiente,flag_Loft,latitud,longitud,comuna,calle
1587312855,1900,30.0,1,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,-33.4495305,-70.6412674,Santiago,Avenida Santa Isabel
1589174251,1900,36.0,1,0,2,1,9,1,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4456163,-70.6442686,Santiago,San Isidro
1590872819,1900,41.0,2,0,1,0,20,0,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.449062,-70.639387,Santiago,Avenida Santa Isabel
2837807338,1900,28.0,1,0,1,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0,0,-33.4491606,-70.6348078,Santiago,Avenida Portugal
2839319592,1900,32.0,1,0,1,0,19,0,0,0,0,1,0,2.0,0,0,1,0,0,0,0,0,-33.4476496,-70.6369396,Santiago,Raulí
2843216526,1900,29.0,1,0,1,0,12,0,1,0,0,0,0,1.0,0,0,1,0,0,0,0,0,-33.4476364,-70.6347614,Santiago,Fray Camilo Henríquez
2856126830,1900,33.0,1,0,2,1,9,1,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4424666,-70.635673,Santiago,Diagonal Paraguay
2856555658,1900,32.0,1,0,1,0,13,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4476619,-70.6351796,Santiago,Avenida Portugal
2860842728,1900,35.0,1,0,1,0,18,0,1,0,0,1,0,3.0,0,0,1,0,0,0,0,0,-33.4458253,-70.6388483,Santiago,Angamos
2861253408,1900,36.0,1,0,2,1,15,0,1,0,0,1,0,2.0,0,0,1,0,0,0,0,0,-33.4452837,-70.6443224,Santiago,San Isidro
2864374022,1900,31.0,1,0,1,0,24,0,1,0,0,0,0,1.0,0,0,1,0,0,0,0,0,-33.4424666,-70.635673,Santiago,Diagonal Paraguay
1551276173,1896,42.0,2,0,2,0,18,0,0,0,0,1,0,0.0,0,1,1,0,0,0,0,0,-33.4481135,-70.6399682,Santiago,Santa Victoria
2858240434,1910,27.0,1,0,1,0,18,0,0,1,1,0,0,0.0,1,1,1,0,0,0,0,0,-33.4499833,-70.6425386,Santiago,Avenida Santa Isabel
1561277189,1921,35.0,1,0,1,0,9,1,0,0,0,0,1,2.0,1,0,1,0,0,0,0,0,-33.4452362,-70.6395112,Santiago,Curicó
1570297709,1921,38.0,1,0,1,0,6,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.4462232,-70.6388685,Santiago,Angamos
1580089117,1921,40.0,1,0,1,0,9,1,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.450809,-70.6426615,Santiago,San Isidro
1589492523,1921,42.0,2,0,1,0,0,0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,-33.4481785,-70.6422291,Santiago,Carmen
2827911038,1921,33.0,1,0,1,0,9,1,0,1,0,0,0,0.0,0,1,1,0,0,0,0,0,-33.4457946,-70.6411601,Santiago,Curicó
2835465408,1921,45.0,1,0,1,0,9,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4445898,-70.6440819,Santiago,Sara Del Campo
2835984490,1921,36.0,1,0,1,0,11,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4454196,-70.6445236,Santiago,San Isidro
2848869594,1921,45.0,1,0,2,1,9,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4446514,-70.6438958,Santiago,Sara Del Campo
2853371058,1921,41.0,2,0,2,1,9,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.449069,-70.635309,Santiago,Avenida Portugal
2855507972,1921,42.0,2,0,1,0,9,1,1,0,0,0,0,2.0,0,1,1,0,0,0,0,0,-33.4473752,-70.6345019,Santiago,Fray Camilo Henríquez
2856698736,1921,35.0,1,0,1,0,9,1,0,0,0,1,0,2.0,1,0,1,0,0,0,0,0,-33.449181,-70.6418444,Santiago,Carmen
2769394652,1950,31.0,1,0,1,0,0,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4474862,-70.6337056,Santiago,Avenida Santa Isabel
2824227300,1950,35.0,1,0,1,0,15,0,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4509642,-70.6409468,Santiago,Carmen
2828378612,1950,45.0,1,0,1,0,30,0,0,0,0,0,1,5.0,0,1,1,0,0,0,0,0,-33.4499254,-70.6428509,Santiago,San Isidro
2861536020,1950,36.0,1,0,1,0,8,0,0,0,0,1,0,0.0,0,1,1,0,0,0,0,0,-33.4503561,-70.6398595,Santiago,Manuel Antonio Tocornal
1583773137,1956,46.0,3,0,1,0,15,0,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,-33.4497962,-70.6420929,Santiago,Carmen
2743969054,1970,32.0,1,0,1,0,0,0,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,-33.4494589,-70.6406129,Santiago,Avenida Santa Isabel
2837548786,1980,44.0,1,0,1,0,31,0,0,1,1,0,0,6.0,0,1,1,0,0,0,0,0,-33.443236,-70.6387359,Santiago,Diagonal Paraguay
2844508084,1930,36.0,1,0,2,1,9,1,0,0,0,0,1,4.0,0,0,1,0,0,0,0,0,-33.4445377,-70.6443181,Santiago,San Isidro
1582533965,1990,30.0,1,0,1,0,9,1,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.4439089,-70.643819,Santiago,Marcoleta
1583339985,1890,37.0,1,0,1,0,10,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,-33.449283,-70.6405452,Santiago,Manuel Antonio Tocornal
1585593491,1990,36.0,1,0,1,0,18,0,0,0,0,1,0,2.0,0,0,1,0,0,0,0,0,-33.445269,-70.6429684,Santiago,Carmen
2830635238,1990,33.0,1,0,1,0,10,0,1,0,0,0,0,1.0,0,0,1,0,0,0,0,0,-33.4445377,-70.6443181,Santiago,San Isidro
2851381258,1990,36.0,1,0,1,0,17,0,0,1,0,0,0,2.5,0,0,1,0,0,0,0,0,-33.4477637,-70.6390042,Santiago,Santa Victoria
2861661690,1990,32.0,1,0,1,0,13,0,0,0,0,1,0,1.0,0,0,1,0,0,0,0,0,-33.4476619,-70.6351796,Santiago,Avenida Portugal
1591819331,1990,36.0,1,0,1,0,11,0,1,0,0,0,0,2.0,0,0,1,0,0,0,0,0,-33.4483119,-70.6427213,Santiago,San Isidro
2851915788,1999,36.0,1,0,1,0,9,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4473582,-70.642332,Santiago,Carmen
1533790107,2000,35.0,1,0,1,0,25,0,1,0,0,1,0,5.0,0,0,1,0,0,0,0,0,-33.4459117,-70.633344,Santiago,Bombero Patricio Canto Feliú
1587260973,2000,30.0,1,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,-33.4425449,-70.6451545,Santiago,Avenida Libertador Bernardo O'higgins
2761860410,2000,30.0,1,0,1,0,10,0,0,0,0,1,0,3.0,0,0,1,0,0,0,0,0,-33.4506173,-70.6414493,Santiago,Carmen
2763615740,2000,36.0,1,0,2,1,9,1,0,0,0,0,1,4.0,0,0,1,0,0,0,0,0,-33.445638,-70.645078,Santiago,Avenida Santa Rosa
2774636102,2000,40.0,1,0,2,1,9,1,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4506883,-70.641523,Santiago,Carmen
2803761780,2000,36.0,1,0,2,1,9,1,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4477928,-70.6383528,Santiago,Santa Victoria
2845457424,2000,41.0,1,0,1,0,3,0,0,0,0,1,0,7.0,0,1,1,0,0,0,0,0,-33.4498201,-70.6361513,Santiago,Argomedo
2859445422,2000,39.0,1,0,1,0,10,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,-33.4509151,-70.6422841,Santiago,San Isidro
2861100326,2000,30.0,1,0,1,0,0,0,1,1,1,1,0,0.0,0,0,0,0,1,0,0,0,-33.4493593,-70.6318779,Santiago,Avenida Vicuña Mackenna
2861226550,2000,50.0,1,0,1,0,9,0,0,0,0,0,1,5.0,0,1,1,0,0,0,0,0,-33.4493374,-70.6340618,Santiago,Argomedo
2862736380,2000,32.0,1,0,1,0,9,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,-33.4488144,-70.6353363,Santiago,Avenida Portugal
2864430780,2000,32.0,1,0,1,0,13,0,0,1,1,0,0,1.0,0,0,1,0,0,0,0,0,-33.4489741,-70.6428516,Santiago,Santa Victoria
1569373431,1997,47.0,2,0,2,0,10,0,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4497962,-70.6420929,Santiago,Carmen
1532451557,1998,38.0,1,0,2,1,9,1,0,0,0,0,1,2.0,0,0,1,0,0,0,0,0,-33.4457669,-70.6401241,Santiago,Lira
1560536051,1998,30.0,1,0,1,0,20,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4464772,-70.6400728,Santiago,Lira
1577212285,1998,35.0,1,0,1,0,25,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,-33.4497875,-70.6363765,Santiago,Argomedo
2859628756,2024,46.0,1,0,1,0,0,0,0,1,1,0,0,2.0,0,0,1,0,0,0,0,0,-33.4503702,-70.6431687,Santiago,Avenida Santa Isabel
