id,monto,ppm2,superficie_t,superficie_u,terraza,dormitorios,banos,estacionamiento,bodegas,cantidad_pisos,piso,tipo_depto,antiguedad,latitud,longitud,comuna,calle,orientacion_norm,Or_N,Or_S,Or_E,Or_O
2747498748,5390,107.0,50.0,50.0,0.0,1.0,1.0,1,1,22.0,21.0,Semi piso,12.0,-33.4250565,-70.5914245,Las Condes,La Niña,SE,0,1,1,0
1570409003,7450,74.0,100.0,100.0,4.0,2.0,2.0,1,1,5.0,2.0,Departamento,35.0,-33.4224129,-70.5804977,Las Condes,Avenida Américo Vespucio Sur,N,1,0,0,0
2863977472,8318,76.0,120.0,108.0,12.0,3.0,3.0,1,1,8.0,4.0,Departamento,19.0,-33.4286334,-70.5784249,Las Condes,Felipe Ii,NSEO,1,1,1,1
1584692845,7800,82.0,122.0,94.32,27.0,3.0,3.0,1,1,12.0,3.0,Departamento,25.0,-33.4232743,-70.5861588,Las Condes,Alcántara,NO,1,0,0,1
2863926024,10490,116.0,106.0,90.0,16.0,3.0,3.0,1,1,12.0,4.0,Departamento,31.0,-33.4258795,-70.5849995,Las Condes,Alcántara,O,0,0,0,1
2858266950,12650,108.0,130.0,117.0,13.0,4.0,3.0,1,1,13.0,3.0,Departamento,24.0,-33.4082385,-70.574051,Las Condes,Flor De Azucena,O,0,0,0,1
1579423265,6699,111.0,62.0,60.0,2.0,2.0,2.0,1,1,18.0,12.0,Departamento,16.0,-33.4254171,-70.5822209,Las Condes,Madrigal,O,0,0,0,1
1588010313,9000,80.0,121.0,112.0,9.0,2.0,3.0,1,0,13.0,11.0,Departamento,0.0,-33.4303272,-70.5628614,Las Condes,Hernando De Magallanes,O,0,0,0,1
1570931495,19250,96.0,240.0,200.0,20.0,3.0,3.0,4,1,7.0,2.0,Departamento,27.0,-33.378023,-70.5242792,Las Condes,San Damián,NSEO,1,1,1,1
2861519940,18000,83.0,290.0,216.0,0.0,3.0,4.0,2,1,3.0,1.0,Departamento,0.0,-33.3665634,-70.4947668,Las Condes,Camino A Farellones,N,1,0,0,0
